RI Zone,District,Club Name,Club Status,Current Member Count,Club ID
Zone 5,2982,Salem Steel City,Active,11,227589
Zone 5,2982,Salem Success,Active,18,226403
Zone 5,2982,Salem Sunrise,Active,17,226405
Zone 5,2982,Salem Sunstar,Active,23,73402
Zone 5,2982,Salem Texcity,Active,56,63034
Zone 5,2982,Salem West,Active,19,15887
Zone 5,2982,Salem Wonderful,Active,28,227061
Zone 5,2982,Sankagiri,Active,34,64355
Zone 5,2982,Sankarapuram,Active,77,29651
Zone 5,2982,Sankari West,Active,22,83803
Zone 5,2982,Shoolagiri,Active,14,226164
Zone 5,2982,Thalaivasal,Active,56,86962
Zone 5,2982,Thiyagadurgam,Active,31,224937
Zone 5,2982,Tindivanam Elite,Active,18,227121
Zone 5,2982,Tiruchengode,Active,68,15892
Zone 5,2982,Tiruchengode Redrock,Active,38,72970
Zone 5,2982,Tiruchengode Sangamam,Active,28,91235
Zone 5,2982,Tirukkoyilur Temple City,Active,49,224847
Zone 5,2982,Yercaud,Active,30,31611
Zone 5,3000,Alangudi,Active,39,30181
Zone 5,3000,Alangudi Central,Active,23,80712
Zone 5,3000,Andipatti,Active,45,85163
Zone 5,3000,Annavasal Annapparavai,Active,25,227615
Zone 5,3000,Aranthai Aram,Active,40,223098
Zone 5,3000,Aranthai Friends,Active,40,222294
Zone 5,3000,Aranthai Royal,Active,15,228093
Zone 5,3000,Aravakkurichi,Active,13,225734
Zone 5,3000,Ariyalur,Active,101,15907
Zone 5,3000,Bodinayakkanur,Active,16,27418
Zone 5,3000,Bodi Western Ghats,Active,25,227112
Zone 5,3000,Bodi Western Ghats Feathers,Active,25,227659
Zone 5,3000,Cauvery Tiruchirapalli,Active,14,27248
Zone 5,3000,Chinnalapatti Dream,Active,13,227214
Zone 5,3000,Chinnamanur,Active,65,22580
Zone 5,3000,Chinnamanur Central,Active,19,226081
Zone 5,3000,Chinnamanur Green City,Active,23,88681
Zone 5,3000,Cumbum Green Valley,Active,60,80891
Zone 5,3000,Dindigul Aram,Active,12,225940
Zone 5,3000,Dindigul Central,Active,26,61066
Zone 5,3000,Dindigul Dreams,Active,16,227226
Zone 5,3000,Dindigul Fort,Active,57,51330
Zone 5,3000,Dindigul Miracle,Active,10,227187
Zone 5,3000,Gandarvakottai Vaagai,Active,9,226816
Zone 5,3000,Gudalur Garden City,Active,25,88574
Zone 5,3000,Inamkulathur,Active,15,228152
Zone 5,3000,Jambukeshwaram,Active,25,59366
Zone 5,3000,Jayakondam Best,Active,15,228236
Zone 5,3000,Jayankondam,Active,37,85307
Zone 5,3000,Karambakkudi,Active,48,59369
Zone 5,3000,Karambakudi City,Active,43,87906
Zone 5,3000,Karur Amaravathi,Active,23,86171
Zone 5,3000,Karur Cheran,Active,33,86977
Zone 5,3000,Karur Pugazhi,Active,24,227557
Zone 5,3000,Kattur,Active,52,15919
Zone 5,3000,Lalgudi,Active,17,228122
Zone 5,3000,Lalgudi Stars,Active,16,228230
Zone 5,3000,Madurai,Active,51,15926
Zone 5,3000,Madurai Central,Active,67,21076
Zone 5,3000,Madurai Classic,Active,34,225918
Zone 5,3000,Madurai East,Active,34,25562
Zone 5,3000,Madurai Icons,Active,46,226751
Zone 5,3000,Madurai Jallikattu,Active,34,225567
Zone 5,3000,Madurai Kadambavanam,Active,63,228182
Zone 5,3000,Madurai Kings City,Active,32,82063
Zone 5,3000,Madurai Majesty,Active,26,227419
Zone 5,3000,Madurai Malligai,Active,27,82067
Zone 5,3000,Madurai Matrix,Active,50,227235
Zone 5,3000,Madurai Metropolis,Active,43,90748
Zone 5,3000,Madurai Pandian,Active,17,86952
Zone 5,3000,Madurai Paramount,Active,20,225654
Zone 5,3000,Madurai Phoenix,Active,21,226159
Zone 5,3000,Madurai Presidency,Active,15,221978
Zone 5,3000,Madurai Royal,Active,29,223240
Zone 5,3000,Madurai Royal Kings,Active,11,227219
Zone 5,3000,Madurai Sangamam,Active,15,86014
Zone 5,3000,Madurai South,Active,41,15928
Zone 5,3000,Madurai Sporting Amigos,Active,40,224502
Zone 5,3000,Madurai Tamil Sangam,Active,11,227005
Zone 5,3000,Malaiyur,Active,27,227607
Zone 5,3000,Manaparai Dreams,Active,11,227240
Zone 5,3000,Manaparai Stars,Active,8,223248
Zone 5,3000,Manapparai,Active,56,28481
Zone 5,3000,Manapparai Next Gen,Active,25,227263
Zone 5,3000,Manapparai West,Active,8,84014
Zone 5,3000,Manavai Kings,Active,21,88219
Zone 5,3000,Manavai Queens,Active,19,88224
Zone 5,3000,Melur,Active,21,228094
Zone 5,3000,Musiri Green City,Active,12,227234
Zone 5,3000,Musiri Stars,Active,20,228234
Zone 5,3000,New Majestic Pudukkottai,Active,17,70896
Zone 5,3000,Nilakottai Gems Golden City,Active,10,88873
Zone 5,3000,Oddanchatram Elite,Active,16,225607
Zone 5,3000,Pallapatti Central,Active,20,60973
Zone 5,3000,Pattiveeranpatti Pride,Active,14,225811
Zone 5,3000,Perambalur Achievers,Active,17,228124
Zone 5,3000,Perambalur Aura,Active,10,226145
Zone 5,3000,Perambalur Cotton City,Active,17,223120
Zone 5,3000,Perambalur Kings,Active,21,90513
Zone 5,3000,Perambalur New Gen,Active,25,84016
Zone 5,3000,Perambalur Pillars,Active,18,228229
Zone 5,3000,Perambalur Sigaram,Active,17,227825
Zone 5,3000,Pon. Puduppatti,Active,47,31418
Zone 5,3000,Pudugai Vetri,Active,27,227937
Zone 5,3000,Pudukkottai Central,Active,92,50480
Zone 5,3000,Pudukkottai Dreams Fort,Active,25,227244
Zone 5,3000,Pudukkottai Metro,Active,34,227596
Zone 5,3000,Pudukkottai Palace City,Active,54,50212
Zone 5,3000,Pudukkottai Perarasu,Active,471,227959
Zone 5,3000,Sendurai,Active,22,227291
Zone 5,3000,Somarasampettai,Active,15,228154
Zone 5,3000,Tharagampatty,Active,20,228167
Zone 5,3000,Theni,Active,33,15947
Zone 5,3000,Theni Sangamam,Active,26,83519
Zone 5,3000,Theni Thozha,Active,20,228250
Zone 5,3000,Theni Vaigai Siragugal,Active,14,227207
Zone 5,3000,Theni Vaigai Star,Active,19,223042
Zone 5,3000,Thirumayam Fort,Active,31,225655
Zone 5,3000,Thiruvappur,Active,25,228161
Zone 5,3000,Thogaimalai,Active,21,227456
Zone 5,3000,Thuraiyur,Active,73,21317
Zone 5,3000,Thuraiyur Golden City,Active,38,59589
Zone 5,3000,Thuraiyur Sri Tirumala,Active,25,227093
Zone 5,3000,Thuvarankurichi,Active,26,227339
Zone 5,3000,Tiruchirapalli Cosmopolitan,Active,24,227132
Zone 5,3000,Tiruchirapalli Diamond City,Active,101,30771
Zone 5,3000,Tiruchirapalli Metro,Active,33,31727
