RI Zone,District,Club Name,Club Status,Current Member Count,Club ID,Total Rotaract Sponsored,Total Interact Sponsored
Zone 4,3011,Delhi Euphoria,Active,22,225642,0,0
Zone 4,3011,Delhi Femina,Active,75,87625,0,0
Zone 4,3011,Delhi Genesis,Active,14,225504,1,0
Zone 4,3011,Delhi Golfers,Active,15,227167,0,0
Zone 4,3011,Delhi Imperia,Active,14,227818,1,0
Zone 4,3011,Delhiites,Active,72,89492,0,0
Zone 4,3011,Delhi Madhyam,Active,14,91111,0,0
Zone 4,3011,Delhi Nexus,Active,19,227223,0,0
Zone 4,3011,Delhi Orchids,Active,16,226288,0,0
Zone 4,3011,Delhi Platinum,Active,26,227134,0,0
Zone 4,3011,Delhi Purple,Active,15,227164,0,0
Zone 4,3011,Delhi Regency,Active,45,30966,2,0
Zone 4,3011,Delhi Rendezvous GenNext,Active,28,228032,0,0
Zone 4,3011,Delhi Sainik Farms,Active,26,26072,1,0
Zone 4,3011,Delhi Select,Active,18,227460,0,0
Zone 4,3011,Delhi South Central,Active,80,23232,1,0
Zone 4,3011,Delhi South Central Next,Active,25,89026,0,0
Zone 4,3011,Delhi Southend Evolve,Active,22,226155,0,0
Zone 4,3011,Delhi Stellar,Active,34,89564,0,0
Zone 4,3011,Delhi Sunrise,Active,15,227918,0,0
Zone 4,3011,Delhi Vasant Vihar,Active,28,89332,0,0
Zone 4,3011,Delhi Westend,Active,10,23188,1,0
Zone 4,3011,E-Club of E.A.R.T.H,Active,24,226230,0,0
Zone 4,3011,Faridabad Amrita,Active,18,225904,0,0
Zone 4,3011,Faridabad Central,Active,37,15244,0,0
Zone 4,3011,Faridabad City,Active,29,221969,0,0
Zone 4,3011,Faridabad Cosmopolitan,Active,19,86177,0,0
Zone 4,3011,Faridabad Diamond,Active,15,227997,0,0
Zone 4,3011,Faridabad Elite,Active,16,88334,0,0
Zone 4,3011,Faridabad Excellence,Active,47,226334,0,0
Zone 4,3011,Faridabad Greater,Active,47,83865,0,0
Zone 4,3011,Faridabad Happiness,Active,20,224149,0,0
Zone 4,3011,Faridabad IMT Next,Active,12,225511,0,0
Zone 4,3011,Faridabad Industrial Town,Active,17,27006,0,0
Zone 4,3011,Faridabad Josh,Active,19,225261,0,0
Zone 4,3011,Faridabad Lifeline,Active,4,224189,0,0
Zone 4,3011,Faridabad Mid Town,Active,66,79173,0,0
Zone 4,3011,Faridabad Midtown Next,Active,36,91224,1,0
Zone 4,3011,Faridabad NIT Next,Active,16,91237,0,0
Zone 4,3011,Faridabad Prerna,Active,4,225319,0,0
Zone 4,3011,Faridabad Professionals,Active,10,91226,0,0
Zone 4,3011,Gurgaon Civil Lines,Active,32,91215,0,0
Zone 4,3011,Gurgaon Spundan,Active,17,228226,0,0
Zone 4,3011,Narnaul Royals,Active,8,227325,0,0
Zone 4,3011,Narnaul Unity,Active,10,225802,0,0
Zone 4,3011,National Capital Region Golfers,Active,23,222646,0,0
Zone 4,3011,Palwal City,Active,21,84173,0,0
Zone 4,3011,Palwal Parivar,Active,21,225645,0,0
Zone 4,3011,Palwal Sanskar,Active,24,90420,0,0
Zone 4,3011,Rewari City,Active,36,84178,0,0
Zone 4,3011,Rewari Royals,Active,30,222796,0,0
Zone 4,3011,Rohtak Central,Active,11,227159,0,0
Zone 4,3011,Rohtak City,Active,66,83840,0,0
Zone 4,3011,Rohtak Heritage,Active,22,225503,0,0
Zone 4,3011,Rohtak Royal,Active,7,88901,0,0
Zone 4,3011,Rohtak Sapphire,Active,87,223180,0,0
Zone 4,3011,Rohtak Scholars,Active,336,87891,0,0
Zone 4,3011,South Gurugram,Active,20,227294,0,0
Zone 4,3012,Capital City New Delhi,Active,39,85210,2,0
Zone 4,3012,Dadri,Active,54,15317,0,0
Zone 4,3012,Dankaur,Active,6,223028,0,0
Zone 4,3012,Delhi Aagaz,Active,2,222780,0,0
Zone 4,3012,Delhi Accord,Active,12,223485,0,0
Zone 4,3012,Delhi Achievers,Active,38,82610,1,0
Zone 4,3012,Delhi Akshar,Active,164,227592,0,0
Zone 4,3012,Delhi Ananta,Active,57,90654,1,0
Zone 4,3012,Delhi Ashoka,Active,60,54625,1,0
Zone 4,3012,Delhi Aspire,Active,13,87624,0,0
Zone 4,3012,Delhi Bridge,Active,7,224721,0,0
Zone 4,3012,Delhi Capitol,Active,32,51496,1,0
Zone 4,3012,Delhi Civil Lines,Active,20,30018,0,0
Zone 4,3012,Delhi East End,Active,24,58246,1,0
Zone 4,3012,Delhi Ekta,Active,17,228064,0,0
Zone 4,3012,Delhi Karma,Active,23,88277,0,0
Zone 4,3012,Delhi Magnificent,Active,3,222627,0,0
Zone 4,3012,Delhi Marvel,Active,3,222637,0,0
Zone 4,3012,Delhi Mystics,Active,13,224744,0,0
Zone 4,3012,Delhi NCR Vibrant,Active,6,91066,0,0
Zone 4,3012,Delhi Regals,Active,29,90575,1,0
Zone 4,3012,Delhi Riverside,Active,38,69616,0,0
Zone 4,3012,Delhi Royal East,Active,17,225809,0,0
Zone 4,3012,Delhi Royals,Active,34,84572,1,0
Zone 4,3012,Delhi Superstars,Active,7,223404,0,0
Zone 4,3012,Delhi Victory,Active,7,90949,0,0
Zone 4,3012,Delhi Vinod Nagar,Active,6,223287,0,0
Zone 4,3012,Ghaziabad Anant,Active,89,90616,0,0
Zone 4,3012,Ghaziabad Ashoka,Active,6,223397,0,0
Zone 4,3012,Ghaziabad Astha,Active,6,223369,0,0
Zone 4,3012,Ghaziabad Central,Active,76,28109,0,0
Zone 4,3012,Ghaziabad Centurion,Active,12,222987,0,0
Zone 4,3012,Ghaziabad Century,Active,11,90952,0,0
Zone 4,3012,Ghaziabad Chiranjeev Vihar,Active,9,56315,1,0
Zone 4,3012,Ghaziabad Diamond,Active,7,223392,0,0
Zone 4,3012,Ghaziabad Divine,Active,3,222787,0,0
Zone 4,3012,Ghaziabad Elite,Active,33,91223,0,0
Zone 4,3012,Ghaziabad Excellence,Active,6,76413,0,0
Zone 4,3012,Ghaziabad Gold,Active,38,225763,0,0
Zone 4,3012,Ghaziabad Golf Links,Active,38,221923,1,0
Zone 4,3012,Ghaziabad Grace,Active,6,223213,0,0
Zone 4,3012,Ghaziabad Greater,Active,39,30004,1,0
Zone 4,3012,Ghaziabad Green Smart City,Active,8,225769,0,0
Zone 4,3012,Ghaziabad Gulmohar,Active,6,223366,0,0
Zone 4,3012,Ghaziabad Gyankhand,Active,7,223284,0,0
Zone 4,3012,Ghaziabad Harmony,Active,7,222633,0,0
Zone 4,3012,Ghaziabad Heritage,Active,53,65725,0,0
Zone 4,3012,Ghaziabad Hindon,Active,12,90599,0,0
Zone 4,3012,Ghaziabad Ideal,Active,73,68341,1,0
Zone 4,3012,Ghaziabad Industrial Town,Active,39,31791,0,0
Zone 4,3012,Ghaziabad Lakshay,Active,38,225767,0,0
Zone 4,3012,Ghaziabad Lotus,Active,7,223396,0,0
Zone 4,3012,Ghaziabad Mavericks,Active,38,89906,0,0
Zone 4,3012,Ghaziabad Metro,Active,12,83993,1,0
Zone 4,3012,Ghaziabad Mid Town,Active,28,73109,0,0
Zone 4,3012,Ghaziabad Millenials,Active,4,223035,0,0
